ORGAN_CODE,INSTI_NM,YYMM,VAL
3630000,자치단체,2019,"695,276,619,943"
6300000,자치단체,2019,"6,002,798,968,975"
3640000,자치단체,2019,"500,303,323,101"
3650000,자치단체,2019,"465,366,585,676"
3660000,자치단체,2019,"735,665,538,453"
3670000,자치단체,2019,"568,933,583,589"
3680000,자치단체,2019,"459,821,048,827"
6310000,자치단체,2019,"3,861,916,198,424"
3690000,자치단체,2019,"401,265,472,560"
3700000,자치단체,2019,"534,531,662,684"
3710000,자치단체,2019,"298,304,963,903"
3720000,자치단체,2019,"396,863,912,313"
3730000,자치단체,2019,"850,594,496,058"
5690000,자치단체,2019,"1,515,832,148,006"
6410000,자치단체,2019,"30,229,439,005,828"
3740000,자치단체,2019,"2,934,711,108,518"
3780000,자치단체,2019,"2,946,801,040,450"
3820000,자치단체,2019,"1,319,427,280,240"
3830000,자치단체,2019,"1,365,448,155,838"
3860000,자치단체,2019,"1,882,223,117,554"
3900000,자치단체,2019,"822,661,254,893"
3910000,자치단체,2019,"1,986,388,159,070"
3920000,자치단체,2019,"521,391,499,005"
3930000,자치단체,2019,"2,469,457,104,525"
3940000,자치단체,2019,"2,373,860,687,286"
3970000,자치단체,2019,"475,330,563,332"
3980000,자치단체,2019,"544,409,645,012"
3990000,자치단체,2019,"1,675,435,726,033"
4000000,자치단체,2019,"655,281,841,056"
4010000,자치단체,2019,"1,354,297,933,777"
4020000,자치단체,2019,"712,709,219,844"
4030000,자치단체,2019,"456,208,403,735"
4040000,자치단체,2019,"708,049,424,108"
4050000,자치단체,2019,"2,568,855,641,618"
4060000,자치단체,2019,"1,605,960,985,572"
4070000,자치단체,2019,"1,291,298,669,643"
4080000,자치단체,2019,"852,049,552,392"
4090000,자치단체,2019,"1,132,261,849,935"
5530000,자치단체,2019,"2,595,799,284,145"
5540000,자치단체,2019,"1,120,348,510,555"
5590000,자치단체,2019,"857,608,735,683"
5600000,자치단체,2019,"1,112,776,800,589"
5700000,자치단체,2019,"862,307,090,013"
4140000,자치단체,2019,"602,739,776,824"
4160000,자치단체,2019,"493,528,520,857"
4170000,자치단체,2019,"668,127,537,898"
6420000,자치단체,2019,"7,488,684,856,008"
4180000,자치단체,2019,"1,268,446,945,067"
4190000,자치단체,2019,"1,351,021,295,772"
