ORGAN_CODE,FIELD_NM,YY,VAL
3740000,주택,2017,350148
3740000,단독주택-계,2017,34970
3740000,단독주택-일반,2017,7559
3740000,단독주택-다가구,2017,19146
3740000,단독주택-영업겸용,2017,8265
3740000,아파트,2017,252852
3740000,연립주택,2017,8456
3740000,다세대주택,2017,51303
3740000,비거주용건물내주택,2017,2567
3780000,주택,2017,257047
3780000,단독주택-계,2017,37784
3780000,단독주택-일반,2017,3339
3780000,단독주택-다가구,2017,27767
3780000,단독주택-영업겸용,2017,6678
3780000,아파트,2017,174019
3780000,연립주택,2017,10174
3780000,다세대주택,2017,33399
3780000,비거주용건물내주택,2017,1671
3820000,주택,2017,138767
3820000,단독주택-계,2017,13649
3820000,단독주택-일반,2017,3727
3820000,단독주택-다가구,2017,7149
3820000,단독주택-영업겸용,2017,2773
3820000,아파트,2017,101039
3820000,연립주택,2017,2663
3820000,다세대주택,2017,20301
3820000,비거주용건물내주택,2017,1115
3830000,주택,2017,178175
3830000,단독주택-계,2017,10756
3830000,단독주택-일반,2017,1751
3830000,단독주택-다가구,2017,6456
3830000,단독주택-영업겸용,2017,2549
3830000,아파트,2017,128918
3830000,연립주택,2017,3674
3830000,다세대주택,2017,33496
3830000,비거주용건물내주택,2017,1331
3860000,주택,2017,257849
3860000,단독주택-계,2017,18540
3860000,단독주택-일반,2017,2640
3860000,단독주택-다가구,2017,11820
3860000,단독주택-영업겸용,2017,4080
3860000,아파트,2017,144531
3860000,연립주택,2017,7842
3860000,다세대주택,2017,84161
3860000,비거주용건물내주택,2017,2775
3900000,주택,2017,103564
3900000,단독주택-계,2017,6058
3900000,단독주택-일반,2017,1330
3900000,단독주택-다가구,2017,3582
3900000,단독주택-영업겸용,2017,1146
3900000,아파트,2017,70580
3900000,연립주택,2017,2011
3900000,다세대주택,2017,24295
3900000,비거주용건물내주택,2017,620
3910000,주택,2017,173594
3910000,단독주택-계,2017,32236
3910000,단독주택-일반,2017,20630
3910000,단독주택-다가구,2017,7322
3910000,단독주택-영업겸용,2017,4284
3910000,아파트,2017,106493
3910000,연립주택,2017,5801
3910000,다세대주택,2017,27057
3910000,비거주용건물내주택,2017,2007
3920000,주택,2017,35987
3920000,단독주택-계,2017,6532
3920000,단독주택-일반,2017,4339
3920000,단독주택-다가구,2017,1218
3920000,단독주택-영업겸용,2017,975
3920000,아파트,2017,21019
3920000,연립주택,2017,2473
3920000,다세대주택,2017,5580
